U0000152,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.666666666666667,0,-0.5,0
U0000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U0000422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,1,1,-0.75,0,1,-0.5,0,0,2,2.66666666666667
U0000606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U0001064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,2,-0.666666666666667,1
U0001168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.333333333333333,-0.5,0,0,0,0,0,0
U0001684,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5,5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.5,3,-0.75,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,5,-0.833333333333333,6,-0.428571428571429,11,3.25
U0001740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-0.916666666666667,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-0.9375,-0.5,0,0,0,0,0,0,0,0
U0001951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.5,1.5,-0.8,0
U0002438,0.0779220779220779,0.650602409638554,-0.160583941605839,-0.0260869565217391,0.285714285714286,-0.0138888888888889,-0.0845070422535211,0.153846153846154,0,0.04,-0.102564102564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.333333333333333,0.5,-0.333333333333333,1.5,-0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.166666666666667,0,0.8,-0.666666666666667,1.33333333333333,0.714285714285714,-0.333333333333333,-0.25,-0.166666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0.736842105263158,0.141414141414141,-0.079646017699115,0.153846153846154,-0.075,0.243243243243243,0.152173913043478,-0.0314465408805031,-0.564935064935065,0.0597014925373134,0.112676056338028
U0002524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0
U0002619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-0.941176470588235,1,0.5,-0.666666666666667,0
U0002837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
U0003009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.333333333333333,0.5,0,-0.666666666666667,0,0,3
U0003142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,-0.4,0,0,0.666666666666667,-0.8,1,0.5,1,-0.333333333333333,-0.5,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,-0.2,0,-0.25,1,-0.833333333333333,1,0.5,1,-0.333333333333333,-0.25,0,1,-0.5,0,0,2,0.666666666666667,-0.8,0,0,0,-0.1,-0.111111111111111,-0.1875,0.307692307692308,0.294117647058824,-0.909090909090909,3.5,0.111111111111111,1.5,-0.36,0.0625
U0003554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
